model_id,task_id,score,reported_by,url,notes
smolvlm2-2.2b,rwqa,57.50,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
smolvlm2-2.2b,textvqa,73.21,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
smolvlm2-2.2b,ocrbench,729,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
smolvlm2-2.2b,mme,1793,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
smolvlm2-2.2b,blink,42.30,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
smolvlm2-2.2b,seedbench,69.67,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
qwen3-vl-2b,vqav2,80.10,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
qwen3-vl-2b,docvqa,90.10,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
qwen3-vl-2b,rwqa,62.90,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
qwen3-vl-2b,textvqa,79.70,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
qwen3-vl-2b,ocrbench,794,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
qwen3-vl-2b,mme,1872,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
qwen3-vl-2b,blink,53.80,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
qwen3-vl-2b,seedbench,74.40,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
gemma3-27b,vqav2,71.00,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
gemma3-27b,docvqa,86.60,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
gemma3-27b,rwqa,53.90,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
gemma3-27b,textvqa,65.10,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
gemma3-27b,ocrbench,701,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
gemma3-27b,mme,1582,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
gemma3-27b,blink,39.60,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
gemma3-27b,seedbench,55.36,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-450m,mmstar,40.87,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,mmbench,55.76,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
lfm2-vl-450m,rwqa,52.03,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,mme,1230,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,seedbench,63.62,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,pope,83.68,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,mmmu,34.44,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,mathvista,45.30,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,blink,42.61,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,infovqa,44.56,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
lfm2-vl-450m,ocrbench,657,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,mm-ifeval,33.09,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,mmmb,54.29,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
lfm2-vl-450m,countbench,47.64,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
lfm2-vl-450m,mmvet,33.85,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
lfm2-vl-1.6b,mmstar,49.87,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,mmbench,69.16,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
lfm2-vl-1.6b,rwqa,65.75,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,mme,1757,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,seedbench,72.00,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,pope,87.17,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,mmmu,39.67,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,infovqa,58.35,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
lfm2-vl-1.6b,mathvista,51.70,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,blink,44.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,pope,87.17,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mmstar,57.73,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mmbench,79.81,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
lfm2-vl-3b,rwqa,71.37,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mme,2051,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,seedbench,76.55,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,pope,89.01,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mmmu,45.33,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mathvista,62.20,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,blink,51.03,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,infovqa,67.37,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
lfm2-vl-3b,ocrbench,822,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
lfm2-vl-3b,mm-ifeval,51.83,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
internvl3.5-1b,mmstar,50.27,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mmbench,70.79,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
internvl3.5-1b,rwqa,57.12,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mme,1894,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,seedbench,72.67,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,pope,86.30,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mmmu,41.89,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mathvista,53.10,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,blink,44.19,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,infovqa,60.99,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
internvl3.5-1b,ocrbench,790,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mm-ifeval,36.17,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mmstar,49.0,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mmbench,77.58,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
qwen3-vl-2b,rwqa,65.75,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mme,2045,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,seedbench,74.08,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,pope,89.05,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mmmu,45.78,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mathvista,63.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,blink,54.87,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,infovqa,71.68,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
qwen3-vl-2b,ocrbench,864,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mm-ifeval,51.35,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mmstar,57.67,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mmbench,78.18,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
internvl3.5-2b,rwqa,60.78,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mme,2129,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,seedbench,75.41,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,pope,87.17,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mmmu,51.78,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mathvista,61.60,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,blink,50.97,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,infovqa,69.29,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
internvl3.5-2b,ocrbench,834,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mm-ifeval,47.31,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mmstar,37.73,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mmstar,38.20,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,mmbench,51.29,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
smolvlm2-500m,mmbench,52.32,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,(dev en)
smolvlm2-500m,rwqa,51.37,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,rwqa,49.90,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,mme,1456,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,seedbench,60.34,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,pope,85.83,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,pope,82.67,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,mmmu,33.89,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mmmu,34.10,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,mathvista,34.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,blink,40.45,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,blink,40.70,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,infovqa,24.64,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
smolvlm2-500m,infovqa,24.64,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,(val)
smolvlm2-500m,ocrbench,562,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,ocrbench,609,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,mm-ifeval,11.56,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mm-ifeval,11.27,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,mmmb,46.79,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,countbench,61.81,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-500m,mmvet,29.90,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
smolvlm2-2.2b,mmstar,46.00,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mmbench,69.24,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
smolvlm2-2.2b,rwqa,57.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mme,1793,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,seedbench,71.30,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,pope,85.10,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mmmu,41.60,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mathvista,51.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,blink,42.30,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,infovqa,37.75,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
smolvlm2-2.2b,ocrbench,725,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mm-ifeval,19.42,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2.5-vl-1.6b,mmstar,50.67,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
lfm2.5-vl-1.6b,mm-ifeval,52.29,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
lfm2.5-vl-1.6b,blink,48.82,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
lfm2.5-vl-1.6b,infovqa,62.71,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,(val)
lfm2.5-vl-1.6b,ocrbenchv2,41.44,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,(val)
lfm2.5-vl-1.6b,rwqa,64.84,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
lfm2.5-vl-1.6b,mmmu,40.56,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
liquid-lfm2.5-vl-450m,mmstar,43.00,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,rwqa,58.43,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,mmbench,60.91,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,(dev en)
liquid-lfm2.5-vl-450m,mmmu,32.67,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,pope,86.93,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,blink,43.92,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,infovqa,43.02,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,(val)
liquid-lfm2.5-vl-450m,ocrbench,684,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,mm-ifeval,45.00,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,mmmb,68.09,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,countbench,73.31,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,mmvet,41.10,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
liquid-lfm2.5-vl-450m,refcocom-bbox-acc,81.28,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m,
qwen3-vl-2b,mmmu,53.4,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,mmmu,61.4,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,mmmu,67.4,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,mmmu,70.8,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,mmmu,69.6,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,mmmu,74.1,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b,mathvista,61.3,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-2b-thinking,mathvista,73.6,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-4b,mathvista,73.7,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-4b-thinking,mathvista,79.5,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-8b,mathvista,77.2,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-8b-thinking,mathvista,81.4,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-2b,docvqa,93.3,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-2b-thinking,docvqa,92.9,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-4b,docvqa,95.3,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-4b-thinking,docvqa,94.2,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-8b,docvqa,96.1,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-8b-thinking,docvqa,95.3,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-2b,infovqa,72.4,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-2b-thinking,infovqa,77.1,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-4b,infovqa,80.3,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-4b-thinking,infovqa,83.0,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-8b,infovqa,83.1,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-8b-thinking,infovqa,86.0,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-2b,blink,53.8,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,blink,57.2,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,blink,65.8,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,blink,63.4,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,blink,69.1,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,blink,64.7,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b,rwqa,63.9,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,rwqa,69.5,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,rwqa,70.9,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,rwqa,73.2,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,rwqa,71.5,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,rwqa,73.5,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b,mmstar,58.3,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,mmstar,68.1,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,mmstar,69.8,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,mmstar,73.2,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,mmstar,70.9,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,mmstar,75.3,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b,chartqa,79.1,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-2b-thinking,chartqa,86.6,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-4b,chartqa,84.6,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-4b-thinking,chartqa,88.8,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-8b,chartqa,89.6,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-8b-thinking,chartqa,88.6,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-2b,zerobench,0,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,zerobench,0,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,zerobench,0,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,zerobench,0,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,zerobench,1,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,zerobench,2,Qwen,https://arxiv.org/pdf/2511.21631,
molmoe-1b,ai2d,86.4,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmoe-1b,chartqa,78.0,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmoe-1b,vqav2,83.9,Allen Institute for AI,https://arxiv.org/abs/2409.17146,TestDev
molmoe-1b,docvqa,77.7,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmoe-1b,infovqa,53.9,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmoe-1b,textvqa,78.8,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Val
molmoe-1b,rwqa,60.4,Allen Institute for AI,https://arxiv.org/abs/2409.17146,
molmoe-1b,mmmu,34.9,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Val
molmoe-1b,mathvista,34.0,Allen Institute for AI,https://arxiv.org/abs/2409.17146,TestMini
molmoe-1b,countbench,87.2,Allen Institute for AI,https://arxiv.org/abs/2409.17146,
molmoe-1b,pixmo-count,79.6,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-o,ai2d,90.7,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-o,chartqa,80.4,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-o,vqav2,85.3,Allen Institute for AI,https://arxiv.org/abs/2409.17146,TestDev
molmo-7b-o,docvqa,90.8,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-o,infovqa,70.0,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-o,textvqa,80.4,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Val
molmo-7b-o,rwqa,67.5,Allen Institute for AI,https://arxiv.org/abs/2409.17146,
molmo-7b-o,mmmu,39.3,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Val
molmo-7b-o,mathvista,44.5,Allen Institute for AI,https://arxiv.org/abs/2409.17146,TestMini
molmo-7b-o,countbench,89.0,Allen Institute for AI,https://arxiv.org/abs/2409.17146,
molmo-7b-o,pixmo-count,83.3,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-d,ai2d,93.2,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-d,chartqa,84.1,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-d,vqav2,85.6,Allen Institute for AI,https://arxiv.org/abs/2409.17146,TestDev
molmo-7b-d,docvqa,92.2,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-d,infovqa,72.6,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
molmo-7b-d,textvqa,81.7,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Val
molmo-7b-d,rwqa,70.7,Allen Institute for AI,https://arxiv.org/abs/2409.17146,
molmo-7b-d,mmmu,45.3,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Val
molmo-7b-d,mathvista,51.6,Allen Institute for AI,https://arxiv.org/abs/2409.17146,TestMini
molmo-7b-d,countbench,88.5,Allen Institute for AI,https://arxiv.org/abs/2409.17146,
molmo-7b-d,pixmo-count,84.8,Allen Institute for AI,https://arxiv.org/abs/2409.17146,Test
